UniProt_ID,pubchem_cid,kiba_score,bound
P07949,70812868,,0
Q9NR97,10596233,,0
P10415,117874168,8.37,1
Q06187,90310901,,0
P10415,87279680,0.257,1
P35372,15986936,,0
P42345,44819199,0.355,1
P56373,118683478,7.92,1
O60674,90369577,2.19,1
P09619,118979898,,0
Q92731,91515977,2.19,1
Q05655,155552127,1.18,1
P04629,53304826,,0
P35968,16220354,7.145,1
P29375,57658907,,0
Q9Y233,53250649,6.07,1
P00533,134139584,0.878,1
P28482,92044710,0.298,1
P06276,71813673,,0
P10980,20242416,,0
P25929,90443264,,0
P41143,51003505,,0
Q9NYK1,71667153,,0
C7C422,4091,,0
Q9Y5Z0,86581548,1.55,1
P08473,89523073,4.55,1
P05556,53251552,,0
P47820,12805608,1.15,1
O00329,90166560,2.09,1
Q15375,70685192,,0
Q923Y8,66562957,,0
Q92847,57391293,0.427,1
P36888,5360741,0.601,1
Q9UHD2,23647590,,0
P33535,134133066,,0
Q9UBN7,118191697,,0
Q16790,89477054,,0
O60674,1287122,,0
P19320,11023935,11.5,1
P51449,155556277,,0
Q00535,44259,12.0,1
Q5U3Y7,68182254,,0
P08253,22485396,0.254,1
P08069,68060030,8.37,1
P29275,25192870,,0
Q14680,44458906,,0
Q10469,6481518,,0
Q9NYK1,132272700,0.313,1
Q9UK32,164609169,11.9,1
P04439,44345615,7.55,1
Q07869,126669001,,0
P25105,118127888,,0
Q9JJ16,141486912,,0
P33535,9845693,3.28,1
Q9HBH9,129052029,2.7,1
P21396,44398339,10.2,1
P11309,71253913,1.32,1
P04757,59837609,,0
Q9Y233,56594507,,0
P43235,132272166,,0
P23458,129269535,1.92,1
P53634,90430770,2.75,1
P49674,54762001,11.9,1
P00742,126962152,,0
P53634,72793034,,0
Q14123,10195108,,0
Q12852,72706274,,0
P01375,66547110,,0
P41145,86767133,,0
P49355,89423243,,0
P52333,44593463,,0
O00329,118716809,,0
Q923Y8,118484954,6.3,1
Q15761,16741245,,0
P20309,59179619,0.0442,1
P00742,44456386,1.41,1
P04585,127048059,,0
P41146,164628753,,0
Q9MYW9,145964739,6.01,1
Q14680,87121352,7.0,1
P41597,10007642,1.07,1
Q15858,124222089,6.07,1
P41144,49872933,,0
